,City Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Date/Time
0,komsomolskiy,40.4272,71.7189,23.4,40.0,100.0,1.03,UZ,1651053980
1,lebu,-37.6167,-73.65,11.07,84.0,85.0,9.86,CL,1651053925
2,eyl,7.9803,49.8164,31.06,57.0,83.0,5.4,SO,1651054231
3,oga,46.4631,10.347,11.56,64.0,6.0,1.97,IT,1651054232
4,ushuaia,-54.8,-68.3,1.58,97.0,98.0,3.77,AR,1651054232
5,oranjemund,-28.55,16.4333,26.78,25.0,0.0,3.78,NA,1651054012
6,tasiilaq,65.6145,-37.6368,3.09,76.0,95.0,1.83,GL,1651054232
7,wulanhaote,,,,,,,,
8,upernavik,72.7868,-56.1549,0.73,69.0,100.0,3.26,GL,1651053919
9,tiksi,71.6872,128.8694,-14.3,95.0,34.0,0.3,RU,1651053997
10,taolanaro,,,,,,,,
11,hermanus,-34.4187,19.2345,22.11,48.0,0.0,2.02,ZA,1651053923
12,kosh-agach,50.0,88.6667,3.81,35.0,97.0,3.78,RU,1651054233
13,cape town,-33.9258,18.4232,24.51,45.0,1.0,0.89,ZA,1651053854
14,clyde river,70.4692,-68.5914,-22.6,100.0,93.0,1.65,CA,1651054022
15,airai,-8.9266,125.4092,17.56,91.0,99.0,0.58,TL,1651053946
16,ruatoria,,,,,,,,
17,new norfolk,-42.7826,147.0587,13.84,83.0,100.0,0.88,AU,1651053928
18,presidencia roque saenz pena,-26.7852,-60.4388,28.7,45.0,100.0,3.76,AR,1651054032
19,healdsburg,38.6105,-122.8692,8.47,78.0,0.0,1.54,US,1651054234
20,sur,22.5667,59.5289,35.08,35.0,33.0,4.41,OM,1651054008
21,impfondo,1.6381,18.0667,27.75,65.0,96.0,1.38,CG,1651054235
22,hambantota,6.1241,81.1185,32.19,74.0,40.0,3.6,LK,1651053694
23,san patricio,28.017,-97.5169,22.72,89.0,6.0,2.7,US,1651053952
24,albany,42.6001,-73.9662,6.23,77.0,77.0,4.22,US,1651053921
25,georgetown,5.4112,100.3354,33.96,59.0,20.0,2.06,MY,1651053664
26,lorengau,-2.0226,147.2712,27.72,80.0,99.0,3.86,PG,1651053931
27,port alfred,-33.5906,26.891,20.1,71.0,34.0,1.79,ZA,1651053943
28,bilma,18.6853,12.9164,37.59,6.0,0.0,5.59,NE,1651054236
29,nadym,65.5333,72.5167,2.39,100.0,100.0,4.99,RU,1651053979
30,dergachi,51.2328,48.7659,24.67,38.0,90.0,9.14,RU,1651054236
31,bengkulu,-3.8004,102.2655,27.54,86.0,100.0,3.74,ID,1651053954
32,torbay,47.6666,-52.7314,2.64,95.0,100.0,1.79,CA,1651053972
33,xining,36.6167,101.7667,7.66,64.0,100.0,3.17,CN,1651054148
34,geraldton,-28.7667,114.6,20.23,64.0,75.0,3.6,AU,1651053994
35,punta arenas,-53.15,-70.9167,1.73,75.0,20.0,4.12,CL,1651053927
36,katobu,-4.9408,122.5276,25.25,90.0,100.0,0.95,ID,1651054237
37,kaitangata,-46.2817,169.8464,7.99,94.0,22.0,1.78,NZ,1651053943
38,buala,-8.145,159.5921,26.91,79.0,42.0,1.73,SB,1651054237
39,tonantins,-2.8731,-67.8022,22.03,99.0,97.0,0.65,BR,1651054238
40,maragogi,-9.0122,-35.2225,25.98,83.0,66.0,2.93,BR,1651053986
41,la puebla de cazalla,37.2216,-5.3115,19.45,64.0,72.0,2.12,ES,1651054238
42,thompson,55.7435,-97.8558,-7.95,95.0,19.0,1.72,CA,1651053983
43,oruro,-17.9833,-67.15,2.6,26.0,81.0,0.77,BO,1651054238
44,ladario,-19.0047,-57.6017,22.35,71.0,15.0,1.05,BR,1651054239
45,rikitea,-23.1203,-134.9692,25.3,75.0,76.0,10.62,PF,1651053919
46,cockburn town,21.4612,-71.1419,23.94,73.0,8.0,7.5,TC,1651053926
47,mabaruma,8.2,-59.7833,22.81,99.0,99.0,0.68,GY,1651054239
48,akyab,20.15,92.9,30.19,68.0,1.0,7.0,MM,1651054239
49,atuona,-9.8,-139.0333,26.21,72.0,7.0,10.29,PF,1651053932
